X1_Liquidite,X2_Solvabilite,X3_Rentabilite,X4_Levier,X5_Rotation,Delais_Paiement_Jours,Statut
0.16217808319315372,0.28243687633612036,0.02030208329064584,0.5954259214448185,0.9334610934703611,30,En difficulté
0.5655000144869413,-0.37787177518707865,-0.11414405557617449,1.7984567671505334,0.7468747315753479,80,En faillite
0.41239575926798355,-0.3800888036239025,0.054814447447616016,0.7187569950733064,3.683003262900568,34,Sain
0.31906093893792564,-0.10875080276541288,0.005608747531696795,0.9802005767221018,1.1654506821154698,42,En difficulté
0.009213048309705554,0.039778871364199164,0.18856031986750468,0.812387440906033,3.374375540958965,176,En faillite
0.009196164235341836,0.29336667602701383,0.15288962472634518,0.7119457836326879,2.4062080488749755,169,En faillite
-0.059341471482260384,0.21496583894585464,0.03229686409877,2.5119906643698675,0.7724978186306937,77,En difficulté
0.5063233020424546,0.0013124357390734698,-0.041053722872504944,0.9999811894504929,3.844068670033236,182,En faillite
0.3207805082202462,-0.15373600034650073,0.34401798307779596,2.795946589220458,1.3643640844716238,86,Sain
0.3956508044572318,0.49741205014194,0.07700081059805744,2.9157942709665345,3.5087587087341228,144,En difficulté
-0.0855908539929383,-0.01643682798762436,0.19413711789011853,1.7995293158238723,1.0908350202459747,64,En difficulté
0.578936896513396,0.006248321896707931,-0.0797235162108196,0.6004031434640339,3.488800087496485,105,En difficulté
0.4827098485602952,-0.25273856092749775,0.0927948498296989,1.2487350814628275,0.546300845168529,123,En difficulté
0.0486373774747933,0.3153285938749364,-0.13623164006526725,2.433650337374999,2.2912315979931823,34,Sain
0.02727747704497041,0.22431400320333972,0.10272755895522498,1.2286940403517972,3.193049027975449,51,Sain
0.028383156897403672,-0.20130734849011567,0.33200870355885115,0.4436482112478085,3.771784311224742,132,En difficulté
0.11296957007167638,-0.3258570589457416,0.04210335649290012,1.758997750598926,3.682207476722705,160,En faillite
0.26732950214256646,0.21244937186724178,-0.1305019937125442,2.5663383841888976,3.3686870434167573,153,En faillite
0.202361513049481,0.18906009285302172,-0.13452210454032823,2.4285938840018066,3.608669723814564,82,Sain
0.10386039813862932,-0.15406642570161164,0.04399337997343475,0.690344792364989,1.1972689004297679,188,En faillite
0.3282970263056656,0.4557772060253693,-0.06998753176840297,2.0837409203549067,1.4946450349910507,98,En difficulté
-0.0023542975435707214,-0.2640478973971898,-0.13832395183590704,0.8174119376198119,1.511389837223705,133,En faillite
0.10450125397465268,-0.010898679061658312,0.22810680697508842,0.8109810967460822,1.8196887585059458,190,En faillite
0.15645329030558416,0.449254328150839,0.07926150444094535,2.6474009652545183,1.8766223463481604,45,Sain
0.2192489889519251,-0.022245414766489946,-0.005377614013672732,0.8990730676726444,2.405943636291364,145,En difficulté
0.44962317297510945,0.17467335289767694,0.3000415915082404,0.9370925702504314,1.059579171782545,105,En difficulté
0.0397716475108518,-0.042165041833485184,-0.09193051989973719,0.20182949413163875,2.9193633232509626,138,En difficulté
0.2599641068895281,-0.15320631788619699,0.32795941447765964,2.6378732955514494,1.0864828875657726,68,Sain
0.3146901982034297,0.48557988316384537,0.0069833586886764165,2.419265476985577,1.5860796873659164,118,En difficulté
-0.0674847110960016,-0.031599394316461304,0.2942018361543406,1.9565210182538981,2.2617079571215393,141,En difficulté
0.32528139633100683,0.404689283311221,0.15147143823973078,2.300744139028758,3.2875419653321707,76,Sain
0.019366886581104054,-0.19304085469802246,0.26335367987074376,0.625735988788577,3.0881423163355453,166,En faillite
-0.05446388491030435,-0.20820576637742505,0.3420065816052321,1.483306064845211,2.759370247436828,157,En faillite
0.5642198760773333,-0.3719793254039398,-0.005797281090627132,1.1834142845765865,1.0452064120305955,106,En difficulté
0.5759424231521916,0.18650014283829652,0.3305677427037965,0.46257427351964614,2.414658709654522,44,Sain
0.4658781436815228,-0.068326290648615,0.04474094745121018,1.5611653586017873,0.806062756299599,65,En difficulté
0.11322963842135947,0.3779224248556733,0.042755952368461164,2.7780710209593793,1.8207711187882776,92,Sain
-0.03162952019553131,0.025888916022401454,0.02019355212725285,0.3121655333419445,1.9473078560148571,98,En difficulté
0.37896311855850984,0.4713740851232495,0.1207038036737926,1.016090557782623,0.6393400380601384,198,En faillite
0.20810674561772088,-0.23302703586719098,-0.07292747841075645,0.7811146213759697,1.4589583481449013,103,En difficulté
-0.014573235608654839,0.38176085116004965,0.1268557426790056,0.8668106302639496,3.8447731354327126,53,Sain
0.24662383707788912,0.2989371675125676,0.12085240620500201,2.743616745262251,3.8377141274039133,78,Sain
-0.07592803521934713,0.29382966017964685,0.230950906302435,1.5105933518560122,1.7331446898838876,175,En faillite
0.5365242814551474,0.3603049053051989,0.2668249809687928,1.5056383562314926,0.6508503813191342,36,En difficulté
0.08114598712001184,0.28492159184869903,0.07022067515621203,2.3296117988747906,1.1268322876486354,33,En difficulté
0.3637655990477874,0.16359828946827382,0.0011666246757468801,0.6325781712137922,1.8727622770173904,119,En difficulté
0.11819775326258766,-0.2818796100858512,-0.02033255134145276,1.564342991480142,3.8172289428923043,89,Sain
